auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
65.6 (+/- 4.2),38.0 (+/- 5.1),62.0 (+/- 5.2),62.1 (+/- 4.9),62.0 (+/- 5.2),29.1 (+/- 9.8),89.9 (+/- 0.8),19.6 (+/- 9.7),SVM,b_g_m_TIC_phases_SVM
64.1 (+/- 7.1),39.7 (+/- 5.6),60.2 (+/- 5.1),60.5 (+/- 6.5),60.1 (+/- 4.8),28.9 (+/- 10.9),89.2 (+/- 1.5),19.5 (+/- 11.7),NN,b_g_m_TIC_phases_NN
69.2 (+/- 6.9),35.1 (+/- 5.7),65.0 (+/- 5.7),64.9 (+/- 5.8),65.0 (+/- 5.7),27.4 (+/- 15.0),89.4 (+/- 1.2),18.1 (+/- 15.3),LogisticRegression,b_g_m_TIC_phases_LogisticRegression
67.8 (+/- 5.7),34.9 (+/- 4.7),64.5 (+/- 3.9),66.0 (+/- 6.3),64.2 (+/- 3.5),28.3 (+/- 14.6),89.9 (+/- 0.8),19.0 (+/- 14.7),LinearRegression,b_g_m_TIC_phases_LinearRegression
87.6 (+/- 3.3),22.3 (+/- 5.1),77.9 (+/- 5.0),77.3 (+/- 5.2),78.0 (+/- 5.0),58.8 (+/- 11.1),89.9 (+/- 0.8),54.2 (+/- 12.7),RandomForest,b_g_m_scalar_volume_MS_bbox_RandomForest
87.9 (+/- 2.2),20.5 (+/- 2.1),79.5 (+/- 2.0),79.4 (+/- 2.2),79.5 (+/- 2.0),63.4 (+/- 9.0),89.9 (+/- 0.8),59.1 (+/- 10.8),SVM,b_g_m_scalar_volume_MS_bbox_SVM
88.0 (+/- 3.0),20.0 (+/- 3.3),80.2 (+/- 3.1),79.9 (+/- 3.6),80.2 (+/- 3.1),62.2 (+/- 13.3),89.9 (+/- 0.8),58.1 (+/- 15.4),NN,b_g_m_scalar_volume_MS_bbox_NN
88.2 (+/- 3.7),21.6 (+/- 4.5),78.4 (+/- 4.5),78.4 (+/- 4.4),78.4 (+/- 4.6),65.5 (+/- 7.7),89.9 (+/- 0.8),61.6 (+/- 9.1),LogisticRegression,b_g_m_scalar_volume_MS_bbox_LogisticRegression
55.5 (+/- 8.7),48.6 (+/- 7.0),51.5 (+/- 7.2),51.2 (+/- 6.7),51.6 (+/- 7.3),22.1 (+/- 7.2),89.9 (+/- 0.8),11.5 (+/- 5.9),LinearRegression,b_g_m_scalar_volume_MS_bbox_LinearRegression
90.9 (+/- 4.3),16.9 (+/- 7.0),83.5 (+/- 6.7),82.6 (+/- 7.5),83.6 (+/- 6.6),72.8 (+/- 13.1),89.2 (+/- 1.5),70.1 (+/- 15.0),RandomForest,b_g_m_cat_scalar_TIC_all_RandomForest
90.3 (+/- 3.3),17.0 (+/- 3.6),83.0 (+/- 3.6),83.1 (+/- 3.7),83.0 (+/- 3.5),72.6 (+/- 9.7),89.9 (+/- 0.8),69.9 (+/- 11.4),SVM,b_g_m_cat_scalar_TIC_all_SVM
89.7 (+/- 2.6),18.8 (+/- 3.2),81.0 (+/- 3.5),81.4 (+/- 2.7),81.0 (+/- 3.6),68.3 (+/- 8.5),89.9 (+/- 0.8),64.9 (+/- 9.8),NN,b_g_m_cat_scalar_TIC_all_NN
89.1 (+/- 5.2),19.0 (+/- 4.7),80.7 (+/- 5.0),81.4 (+/- 4.2),80.6 (+/- 5.2),67.5 (+/- 14.5),90.0 (+/- 1.9),64.0 (+/- 16.7),LogisticRegression,b_g_m_cat_scalar_TIC_all_LogisticRegression
71.4 (+/- 7.8),35.3 (+/- 6.0),64.6 (+/- 6.3),64.9 (+/- 5.6),64.5 (+/- 6.4),35.7 (+/- 5.0),89.9 (+/- 0.8),27.0 (+/- 6.2),LinearRegression,b_g_m_cat_scalar_TIC_all_LinearRegression
