,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
b_m_cat_scalar_TIC_all_RandomForest,0.9120921134948731,0.16327849626541138,0.8374891877174377,0.8338552355766297,0.8395877718925476,0.7880959033966064,0.9062626361846924,0.7343098640441894,0.03338258760395442,0.06006787173835955,0.06114068125482582,0.056342620833153695,0.06390621541888841,0.08031452972295598,0.010635371021711458,0.11519359892473273,RandomForest,b_m_cat_scalar_TIC_all_RandomForest
b_m_cat_scalar_TIC_all_SVM,0.8968856453895568,0.18420569300651551,0.8166625499725342,0.8137205362319946,0.8178680777549744,0.7230582714080811,0.9062626361846924,0.6383406817913055,0.024403891481115655,0.04026242946972676,0.03937194325867124,0.04281657641248088,0.038140203173672664,0.12259259971198783,0.010635371021711458,0.1784849741623509,SVM,b_m_cat_scalar_TIC_all_SVM
b_m_cat_scalar_TIC_all_NN,0.8940510630607605,0.17891072630882263,0.8210193872451782,0.8211279511451721,0.8210505962371826,0.6738895416259766,0.9062626361846924,0.5617863953113555,0.038327188086439694,0.04723647822256223,0.04800406738670409,0.04548571004872984,0.04927313081551355,0.10720089212393415,0.010635371021711458,0.15931174726470096,NN,b_m_cat_scalar_TIC_all_NN
b_m_cat_scalar_TIC_all_LogisticRegression,0.8855820417404174,0.21753247380256652,0.781390106678009,0.7852525353431702,0.7796825170516968,0.7279754042625427,0.9062626361846924,0.644482570886612,0.03019963553849028,0.04726642896374902,0.04801271758785536,0.0452313973275882,0.04939163109956994,0.08197937513231764,0.010635371021711458,0.11642624913096568,LogisticRegression,b_m_cat_scalar_TIC_all_LogisticRegression
b_m_cat_scalar_TIC_all_LinearRegression,0.8258978843688964,0.2387441635131836,0.7618754744529724,0.759074079990387,0.7634375929832459,0.5989734828472137,0.8698989987373352,0.46217291355133056,0.09360704862680304,0.06266703116241332,0.06268009066060223,0.06301848751253993,0.06248194610016519,0.1785238828327251,0.07208795377073464,0.253842602902823,LinearRegression,b_m_cat_scalar_TIC_all_LinearRegression
b_m_cat_scalar_all_RandomForest,0.8893095254898071,0.18519180417060851,0.8149970650672913,0.8144612908363342,0.8151551008224487,0.7257451891899109,0.9062626361846924,0.6367818951606751,0.02673048629459819,0.044307526064765124,0.04409879111820364,0.0456507310813761,0.0436508725607582,0.05962012220496526,0.010635371021711458,0.08992325990326633,RandomForest,b_m_cat_scalar_all_RandomForest
b_m_cat_scalar_all_SVM,0.8738097667694091,0.1878537952899933,0.8121352195739746,0.8122390508651733,0.8120533585548401,0.6322894215583801,0.9062626361846924,0.4959293693304062,0.040902248558145594,0.06473850234952341,0.06454833824645524,0.06563483751055987,0.06397571354241162,0.11821330254316362,0.010635371021711458,0.1867602393887998,SVM,b_m_cat_scalar_all_SVM
b_m_cat_scalar_all_NN,0.8604037046432496,0.21048118472099303,0.789680290222168,0.7894612789154053,0.7895763516426086,0.618201595544815,0.9062626361846924,0.47633846700191496,0.045384674906035996,0.06911848979234575,0.06853204047258057,0.07091739761349392,0.06740975196704102,0.15051190833160977,0.010635371021711458,0.2327806088427201,NN,b_m_cat_scalar_all_NN
b_m_cat_scalar_all_LogisticRegression,0.8532766699790955,0.2232321560382843,0.7777759313583374,0.7743265986442566,0.7792090892791748,0.5818840861320496,0.9062626361846924,0.4191055029630661,0.049384213395331104,0.07814946674468594,0.07651084828697573,0.08186666423118903,0.07468030287175723,0.10868312831530609,0.010635371021711458,0.17912950925460294,LogisticRegression,b_m_cat_scalar_all_LogisticRegression
b_m_cat_scalar_all_LinearRegression,0.7810949683189392,0.28891119360923767,0.7111574888229371,0.711026930809021,0.7111506819725036,0.5157278776168823,0.8624915957450867,0.34228774905204773,0.10521099698276355,0.0763407685172265,0.07649706244904907,0.07594046705389154,0.07714117920850648,0.18623348632518333,0.07165765778221544,0.26650364983598435,LinearRegression,b_m_cat_scalar_all_LinearRegression
