,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
bg_m_FamRisk_LogisticRegression,0.719948148727417,0.35081337094306947,0.6488226175308227,0.6495991110801697,0.6487741470336914,0.32365350127220155,0.9058130979537964,0.23284501805901528,0.08165157396459816,0.0721294096652598,0.07338012464623214,0.0712311243883502,0.07391320621001558,0.13852294464017795,0.01406607136480364,0.1522114685704147,LogisticRegression,bg_m_FamRisk_LogisticRegression
bg_m_FamRisk_LinearRegression,0.721645450592041,0.3510222792625427,0.6499369025230408,0.6476510524749756,0.6503043889999389,0.3630534052848816,0.8989165425300598,0.2800110556185246,0.08405439318063665,0.07696813894089267,0.0772262654576081,0.07669898795526353,0.07733576056740886,0.1468482175026586,0.0063421291619599595,0.16114476092495542,LinearRegression,bg_m_FamRisk_LinearRegression
bg_m_Contrac_RandomForest,0.6092939376831055,0.414444899559021,0.5896247863769531,0.5808517336845398,0.5902584671974183,0.5220621407032013,0.6291752815246582,0.5031547725200654,0.03752391105718001,0.04873062982860454,0.03414803021291045,0.0730891045232768,0.029914862340696954,0.03381045008429408,0.0855345657514359,0.044945935500951585,RandomForest,bg_m_Contrac_RandomForest
bg_m_Contrac_SVM,0.5897603392601013,0.4064085304737091,0.6616513073444367,0.5033854305744171,0.6837975203990936,0.19947311282157898,0.9080074429512024,0.08752018213272095,0.07266763057819589,0.10010226965864806,0.19324974135623188,0.1312416900485587,0.2307816906849661,0.04507386009729055,0.02357518363197139,0.043935997619296,SVM,bg_m_Contrac_SVM
bg_m_Contrac_NN,0.7099650025367736,0.33769909739494325,0.6659399509429932,0.6575480580329895,0.6670537471771241,0.33350231051445006,0.8989165425300598,0.2451002702116966,0.10122369285881168,0.09140779312980643,0.08607466633914823,0.09853860575347384,0.08452311575546319,0.1266003047150583,0.0063421291619599595,0.13918955942769207,NN,bg_m_Contrac_NN
bg_m_Contrac_LogisticRegression,0.7090383052825928,0.34226320385932923,0.6579746961593628,0.6575480580329895,0.6579255342483521,0.3214469015598297,0.8989165425300598,0.2310882978141308,0.10350825833116772,0.09668800675562157,0.09533582705773888,0.09853860575347384,0.09506362810315591,0.11181691899192377,0.0063421291619599595,0.12057980206995413,LogisticRegression,bg_m_Contrac_LogisticRegression
bg_m_Contrac_LinearRegression,0.7109724998474121,0.33530462384223936,0.6648691534996033,0.6646909117698669,0.6646998405456543,0.3316368222236633,0.8989165425300598,0.2429548494517803,0.10294818641531255,0.09200815916819881,0.08722637414189995,0.09850922811340204,0.085746953491563,0.12082681813845929,0.0063421291619599595,0.13156734272713771,LinearRegression,bg_m_Contrac_LinearRegression
bg_m_Chemo_RandomForest,0.6896731615066528,0.3353732109069824,0.6627988696098328,0.6671677112579346,0.6620858669281006,0.5792925834655762,0.7162301540374756,0.5567659914493561,0.030015770178989782,0.03839466450324721,0.040570967656066624,0.03545901874642468,0.04140299219374927,0.04122514712624771,0.029031555430647355,0.05118904186028597,RandomForest,bg_m_Chemo_RandomForest
bg_m_Chemo_SVM,0.5714809477329255,0.43437171578407285,0.629403579235077,0.4762499392032623,0.6550066232681274,0.1802753120660782,0.9189626216888428,0.06215262077748775,0.09396492543389454,0.10029827428162112,0.1468836355105182,0.0927297415814762,0.1711904868277465,0.024066246655006982,0.02739686883032799,0.03305590245771032,SVM,bg_m_Chemo_SVM
bg_m_Chemo_NN,0.7145322680473327,0.34505415558815,0.6560415863990784,0.6532908201217651,0.6566008687019348,0.3532164394855499,0.8989165425300598,0.26790951043367384,0.10112935060388475,0.08454248804912666,0.08694631854384618,0.0817903591752012,0.08790849853168284,0.14680028135938866,0.0063421291619599595,0.16410724130652798,NN,bg_m_Chemo_NN
bg_m_Chemo_LogisticRegression,0.7112903118133544,0.3478980839252472,0.6511969804763794,0.6532908201217651,0.6509130120277404,0.3464930146932602,0.8989165425300598,0.26014799401164057,0.09970296167574622,0.08044517341734454,0.07976415208912804,0.0817903591752012,0.07936925141976413,0.1552905556321797,0.0063421291619599595,0.17412409238189133,LogisticRegression,bg_m_Chemo_LogisticRegression
bg_m_Chemo_LinearRegression,0.7116847395896911,0.34261897802352903,0.6551329851150512,0.6604336738586426,0.6543283700942993,0.3433372139930725,0.8989165425300598,0.2564739964902401,0.09949638341413079,0.08142202055652545,0.08109772123447596,0.08212607204240367,0.08082146414318017,0.15083435781489826,0.0063421291619599595,0.16876175403245564,LinearRegression,bg_m_Chemo_LinearRegression
bg_m_cat_all_RandomForest,0.6623199939727783,0.38498152494430543,0.6097383141517639,0.6224831223487854,0.6075538277626038,0.43552142977714536,0.7925126075744628,0.3796699583530426,0.05911237827543698,0.08903957178153694,0.08227231194160901,0.09906650506882152,0.07950734952271853,0.06333558911357211,0.15204536040206137,0.08456699400831676,RandomForest,bg_m_cat_all_RandomForest
bg_m_cat_all_SVM,0.6239302515983581,0.43301516175270083,0.5371591150760651,0.6083230972290039,0.5256465673446655,0.22388969361782074,0.8989165425300598,0.11663619354367256,0.09577255918967155,0.07096710091123021,0.09458517221121869,0.059074161621807605,0.1059924007958155,0.05353701500952833,0.0063421291619599595,0.05958869541002592,SVM,bg_m_cat_all_SVM
bg_m_cat_all_NN,0.7642392158508301,0.311092221736908,0.6883694052696228,0.6896544575691224,0.6881610989570618,0.4040243446826935,0.9058130979537964,0.32343150675296783,0.059233621001035935,0.05636404090190515,0.05675759874166719,0.055820015378830586,0.05691755020903738,0.11316829943892007,0.01406607136480364,0.1332698880569106,NN,bg_m_cat_all_NN
bg_m_cat_all_LogisticRegression,0.7547491431236267,0.33199549913406373,0.6676983952522277,0.6684721946716309,0.6675368070602417,0.3925806939601898,0.8989165425300598,0.31103259325027466,0.05962886718583665,0.07190925749187473,0.0695709355556559,0.07529228000642152,0.06862219128335495,0.07755536226385693,0.0063421291619599595,0.09516896063758327,LogisticRegression,bg_m_cat_all_LogisticRegression
bg_m_cat_all_LinearRegression,0.7458387613296509,0.34410291314125063,0.6596207618713379,0.650981605052948,0.6608125686645507,0.35817062556743623,0.9058130979537964,0.27245298624038694,0.06205318575413177,0.05671345995572049,0.055333968803494324,0.05930319733849841,0.05484872772720367,0.1190190076519817,0.01406607136480364,0.12998306389328815,LinearRegression,bg_m_cat_all_LinearRegression
bg_m_BRCA_RandomForest,0.6808456063270569,0.34544795751571655,0.6518888711929322,0.658323097229004,0.6507809877395629,0.567393696308136,0.693346130847931,0.5463686585426331,0.03300305049418109,0.04775520761162931,0.04511922308605015,0.051550430147759736,0.04407384608772608,0.04965360672649952,0.05515796411685479,0.06426370044267544,RandomForest,bg_m_BRCA_RandomForest
bg_m_BRCA_SVM,0.6056817173957825,0.40652190446853637,0.6323455989360809,0.5356962263584137,0.6512599587440491,0.21989543437957765,0.9265504240989685,0.10695962235331535,0.07324233997759332,0.08300479846773308,0.15564691241734965,0.0827701263763588,0.1857317135174765,0.026613916328465038,0.009087529059522585,0.035756946509468424,SVM,bg_m_BRCA_SVM
bg_m_BRCA_NN,0.710710632801056,0.35206379294395446,0.6422322869300843,0.6552388668060303,0.6406335473060608,0.3542723298072815,0.8920199871063232,0.27019734382629396,0.1042448801121647,0.08158134045064859,0.08857602004508944,0.07444855490134607,0.09078615535220638,0.14996826943369704,0.01622006950279744,0.1672962856369471,NN,bg_m_BRCA_NN
bg_m_BRCA_LogisticRegression,0.7248158574104309,0.3407919704914093,0.6590962886810303,0.6594961166381836,0.6589199423789978,0.38387040197849276,0.8920199871063232,0.30464182794094086,0.09779283406842286,0.0828704631727251,0.07973071873626256,0.08786208620890182,0.07863533264726025,0.14067177793044905,0.01622006950279744,0.15559806395233042,LogisticRegression,bg_m_BRCA_LogisticRegression
bg_m_BRCA_LinearRegression,0.7226051092147827,0.3425030052661896,0.6561157464981079,0.6594961166381836,0.6554978728294373,0.3759732246398926,0.8989165425300598,0.29433618783950805,0.09877125924359911,0.08414405779974773,0.08176252403539369,0.08786208620890182,0.08084452509379787,0.1408907031941447,0.0063421291619599595,0.15680830878856264,LinearRegression,bg_m_BRCA_LinearRegression
