Test ID,auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90
bg_m_PatRisk_LinearRegression/version_0,0.7073948383331299,0.38618698716163635,0.6089109182357788,0.6206896305084229,0.6069363951683044,0.4653465449810028,0.931034505367279,0.38728323578834534
bg_m_PatRisk_LinearRegression/version_1,0.7138774991035461,0.3264285922050476,0.6699507236480713,0.6785714030265808,0.668571412563324,0.25615763664245605,0.8928571343421936,0.1542857140302658
bg_m_PatRisk_LinearRegression/version_2,0.8368263244628906,0.24476048350334167,0.7589743733406067,0.75,0.7604790329933167,0.5948718190193176,0.8928571343421936,0.544910192489624
bg_m_PatRisk_LinearRegression/version_3,0.8536405563354492,0.22718894481658936,0.7718446850776672,0.774193525314331,0.7714285850524902,0.4223301112651825,0.9032257795333862,0.33714285492897034
bg_m_PatRisk_LinearRegression/version_4,0.7612345218658447,0.35795456171035767,0.6464646458625793,0.6363636255264282,0.6477272510528564,0.5303030014038086,0.9090909361839294,0.4829545319080353
bg_m_MenoStatus_RandomForest/version_0,0.6232808232307434,0.4063185155391693,0.5990098714828491,0.5862069129943848,0.6011560559272766,0.5544554591178894,0.7931034564971924,0.5144508481025696
bg_m_MenoStatus_RandomForest/version_1,0.6550000905990601,0.39642855525016785,0.6009852290153503,0.6071428656578064,0.6000000238418579,0.5073891878128052,0.6785714030265808,0.47999998927116394
bg_m_MenoStatus_RandomForest/version_2,0.6133447289466858,0.46567580103874207,0.5333333611488342,0.5357142686843872,0.5329341292381287,0.5333333611488342,0.5357142686843872,0.5329341292381287
bg_m_MenoStatus_RandomForest/version_3,0.7639631032943726,0.2965898811817169,0.6990291476249695,0.7096773982048035,0.6971428394317627,0.49514561891555786,0.8387096524238586,0.4342857003211975
bg_m_MenoStatus_RandomForest/version_4,0.6618027091026306,0.3380681872367859,0.6464646458625793,0.6818181872367859,0.6420454382896423,0.4848484992980957,0.6818181872367859,0.46022728085517883
bg_m_MenoStatus_SVM/version_0,0.6408211588859558,0.3889774680137634,0.6287128925323486,0.5862069129943848,0.6358381509780884,0.14851485192775726,0.9655172228813171,0.011560693383216858
bg_m_MenoStatus_SVM/version_1,0.580612301826477,0.44928571581840515,0.5615763664245605,0.5357142686843872,0.5657142996788025,0.16748768091201782,0.8928571343421936,0.051428571343421936
bg_m_MenoStatus_SVM/version_2,0.48727545142173767,0.5253421664237976,0.482051283121109,0.4642857015132904,0.485029935836792,0.16410256922245026,0.8928571343421936,0.041916169226169586
bg_m_MenoStatus_SVM/version_3,0.7255299687385559,0.27539172768592834,0.8252426981925964,0.5806451439857483,0.868571400642395,0.23786407709121704,0.9032257795333862,0.11999999731779099
bg_m_MenoStatus_SVM/version_4,0.6248708963394165,0.4232954680919647,0.49494948983192444,0.6818181872367859,0.47159090638160706,0.2373737394809723,0.9090909361839294,0.15340909361839294
bg_m_MenoStatus_NN/version_0,0.5991628170013428,0.41498902440071106,0.5841584205627441,0.5862069129943848,0.5838150382041931,0.19306930899620056,0.8965517282485962,0.07514450699090958
bg_m_MenoStatus_NN/version_1,0.7253060936927795,0.3378571569919586,0.6502463221549988,0.6785714030265808,0.645714282989502,0.3694581389427185,0.9285714030265808,0.2800000011920929
bg_m_MenoStatus_NN/version_2,0.7717065811157227,0.2925577461719513,0.7025641202926636,0.7142857313156128,0.7005987763404846,0.528205156326294,0.8928571343421936,0.46706587076187134
bg_m_MenoStatus_NN/version_3,0.8047926425933838,0.28230416774749756,0.7233009934425354,0.7096773982048035,0.7257142663002014,0.3980582654476166,0.8709677457809448,0.3142857253551483
bg_m_MenoStatus_NN/version_4,0.6204803586006165,0.4232954680919647,0.5656565427780151,0.5909090638160706,0.5625,0.20202019810676575,0.9090909361839294,0.11363636702299118
bg_m_MenoStatus_LogisticRegression/version_0,0.6372334361076355,0.38907715678215027,0.603960394859314,0.6206896305084229,0.6011560559272766,0.21287128329277039,0.8620689511299133,0.10404624044895172
bg_m_MenoStatus_LogisticRegression/version_1,0.6742857098579407,0.3935714364051819,0.6059113144874573,0.6071428656578064,0.6057142615318298,0.35960590839385986,0.8928571343421936,0.2742857038974762
bg_m_MenoStatus_LogisticRegression/version_2,0.7809025049209595,0.2597305476665497,0.7333333492279053,0.75,0.7305389046669006,0.5025641322135925,0.8928571343421936,0.4371257424354553
bg_m_MenoStatus_LogisticRegression/version_3,0.7778801918029785,0.2908755838871002,0.708737850189209,0.7096773982048035,0.7085714340209961,0.3106796145439148,0.8709677457809448,0.21142856776714325
bg_m_MenoStatus_LogisticRegression/version_4,0.6295196413993835,0.4119318425655365,0.5858585834503174,0.5909090638160706,0.5852272510528564,0.15656565129756927,0.9090909361839294,0.0625
bg_m_MenoStatus_LinearRegression/version_0,0.6495914459228516,0.3717361092567444,0.6336633563041687,0.6206896305084229,0.6358381509780884,0.21287128329277039,0.8965517282485962,0.09826589375734329
bg_m_MenoStatus_LinearRegression/version_1,0.6877550482749939,0.39071428775787354,0.610837459564209,0.6071428656578064,0.6114285588264465,0.3251231610774994,0.9285714030265808,0.22857142984867096
bg_m_MenoStatus_LinearRegression/version_2,0.7858211994171143,0.25074851512908936,0.7487179636955261,0.75,0.7485029697418213,0.5025641322135925,0.8928571343421936,0.4371257424354553
bg_m_MenoStatus_LinearRegression/version_3,0.8057143688201904,0.28230416774749756,0.7233009934425354,0.7096773982048035,0.7257142663002014,0.34951457381248474,0.9032257795333862,0.2514285743236542
bg_m_MenoStatus_LinearRegression/version_4,0.6217716932296753,0.41477274894714355,0.5808081030845642,0.5909090638160706,0.5795454382896423,0.15656565129756927,0.9090909361839294,0.0625
bg_m_FamRisk_RandomForest/version_0,0.5683674812316895,0.417879194021225,0.5792078971862793,0.5862069129943848,0.5780346989631653,0.47029703855514526,0.6551724076271057,0.4393063485622406
bg_m_FamRisk_RandomForest/version_1,0.6057142615318298,0.44857141375541687,0.5369458198547363,0.5714285969734192,0.5314285755157471,0.517241358757019,0.5714285969734192,0.508571445941925
bg_m_FamRisk_RandomForest/version_2,0.7064797878265381,0.38216423988342285,0.6000000238418579,0.6428571343421936,0.5928143858909607,0.6051282286643982,0.7142857313156128,0.5868263244628906
bg_m_FamRisk_RandomForest/version_3,0.7046082615852356,0.3004608154296875,0.6699029207229614,0.7419354915618896,0.6571428775787354,0.5436893105506897,0.8709677457809448,0.48571428656578064
bg_m_FamRisk_RandomForest/version_4,0.6789772510528564,0.3863636553287506,0.631313145160675,0.5909090638160706,0.6363636255264282,0.5808081030845642,0.7272727489471436,0.5625
bg_m_FamRisk_SVM/version_0,0.5457444787025452,0.44668129086494446,0.5544554591178894,0.5517241358757019,0.5549132823944092,0.20792078971862793,0.931034505367279,0.08670520037412643
bg_m_FamRisk_SVM/version_1,0.532448947429657,0.46785715222358704,0.47783252596855164,0.6071428656578064,0.4571428596973419,0.16748768091201782,0.8571428656578064,0.05714285746216774
bg_m_FamRisk_SVM/version_2,0.5283361077308655,0.5103721022605896,0.5076923370361328,0.4642857015132904,0.514970064163208,0.1794871836900711,0.8928571343421936,0.05988023802638054
bg_m_FamRisk_SVM/version_3,0.7555760741233826,0.22783410549163818,0.8834951519966125,0.6129032373428345,0.9314285516738892,0.2330097109079361,0.8709677457809448,0.11999999731779099
bg_m_FamRisk_SVM/version_4,0.6624483466148376,0.3863636255264282,0.8434343338012695,0.3181818127632141,0.9090909361839294,0.20202019810676575,0.9090909361839294,0.11363636702299118
bg_m_FamRisk_NN/version_0,0.6232808828353882,0.41498902440071106,0.5841584205627441,0.5862069129943848,0.5838150382041931,0.2772277295589447,0.8965517282485962,0.17341040074825287
bg_m_FamRisk_NN/version_1,0.6995918154716492,0.3264285922050476,0.6699507236480713,0.6785714030265808,0.668571412563324,0.39901477098464966,0.8571428656578064,0.3257142901420593
bg_m_FamRisk_NN/version_2,0.7430496215820312,0.33736100792884827,0.6512820720672607,0.6785714030265808,0.6467065811157227,0.34358975291252136,0.8928571343421936,0.2514970004558563
bg_m_FamRisk_NN/version_3,0.8735483884811401,0.22718894481658936,0.7718446850776672,0.774193525314331,0.7714285850524902,0.5873786211013794,0.9032257795333862,0.5314285755157471
bg_m_FamRisk_NN/version_4,0.6311984062194824,0.40909093618392944,0.5909090638160706,0.5909090638160706,0.5909090638160706,0.14646464586257935,0.9090909361839294,0.05113636329770088
bg_m_FamRisk_LogisticRegression/version_0,0.6356388330459595,0.4553517997264862,0.5396039485931396,0.5517241358757019,0.5375722646713257,0.3465346395969391,0.931034505367279,0.24855491518974304
bg_m_FamRisk_LogisticRegression/version_1,0.7132653594017029,0.3442857265472412,0.6650246381759644,0.6428571343421936,0.668571412563324,0.29064038395881653,0.8928571343421936,0.19428572058677673
bg_m_FamRisk_LogisticRegression/version_2,0.7248716950416565,0.3522241413593292,0.6512820720672607,0.6428571343421936,0.652694582939148,0.2666666805744171,0.8928571343421936,0.16167664527893066
bg_m_FamRisk_LogisticRegression/version_3,0.8689400553703308,0.2300460934638977,0.7669903039932251,0.774193525314331,0.7657142877578735,0.5679611563682556,0.9032257795333862,0.508571445941925
