Test ID,auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90
b_m_PatRisk_LinearRegression/version_2,0.9479338526725769,0.14848482608795166,0.8522727489471436,0.8484848737716675,0.8545454740524292,0.8181818127632141,0.9090909361839294,0.7636363506317139
b_m_PatRisk_LinearRegression/version_3,0.865384578704834,0.150997132062912,0.8481012582778931,0.8518518805503845,0.8461538553237915,0.49367088079452515,0.8888888955116272,0.2884615361690521
b_m_PatRisk_LinearRegression/version_4,0.8827956318855286,0.2456989288330078,0.75,0.7666666507720947,0.7419354915618896,0.717391312122345,0.8999999761581421,0.6290322542190552
b_m_MenoStatus_RandomForest/version_0,0.7559028267860413,0.2958333492279053,0.7023809552192688,0.7083333134651184,0.699999988079071,0.6190476417541504,0.875,0.5166666507720947
b_m_MenoStatus_RandomForest/version_1,0.6699346899986267,0.3946078419685364,0.6133333444595337,0.5833333134651184,0.6274510025978088,0.5199999809265137,0.7916666865348816,0.3921568691730499
b_m_MenoStatus_RandomForest/version_2,0.8495867252349854,0.3060606122016907,0.6931818127632141,0.6969696879386902,0.6909090876579285,0.6590909361839294,0.9090909361839294,0.5090909004211426
b_m_MenoStatus_RandomForest/version_3,0.6702279448509216,0.3678775131702423,0.6329113841056824,0.6296296119689941,0.6346153616905212,0.40506330132484436,0.8888888955116272,0.1538461595773697
b_m_MenoStatus_RandomForest/version_4,0.6728494167327881,0.34354838728904724,0.6413043737411499,0.699999988079071,0.6129032373428345,0.532608687877655,0.8333333134651184,0.3870967626571655
b_m_MenoStatus_SVM/version_0,0.6822916865348816,0.3708333373069763,0.6309523582458496,0.625,0.6333333253860474,0.4642857015132904,0.875,0.30000001192092896
b_m_MenoStatus_SVM/version_1,0.7683824300765991,0.2928921580314636,0.7066666483879089,0.7083333134651184,0.7058823704719543,0.6666666865348816,0.9166666865348816,0.5490196347236633
b_m_MenoStatus_SVM/version_2,0.8994489908218384,0.14848482608795166,0.8522727489471436,0.8484848737716675,0.8545454740524292,0.7159090638160706,0.9090909361839294,0.6000000238418579
b_m_MenoStatus_SVM/version_3,0.6047008633613586,0.40420228242874146,0.6202531456947327,0.5185185074806213,0.6730769276618958,0.39240506291389465,0.9259259104728699,0.11538461595773697
b_m_MenoStatus_SVM/version_4,0.7322580814361572,0.2704300880432129,0.72826087474823,0.7333333492279053,0.725806474685669,0.3913043439388275,0.8999999761581421,0.14516128599643707
b_m_MenoStatus_NN/version_0,0.6711805462837219,0.3708333373069763,0.6309523582458496,0.625,0.6333333253860474,0.4047619104385376,0.9166666865348816,0.20000000298023224
b_m_MenoStatus_NN/version_1,0.7814542651176453,0.2928921580314636,0.7066666483879089,0.7083333134651184,0.7058823704719543,0.54666668176651,0.9166666865348816,0.37254902720451355
b_m_MenoStatus_NN/version_2,0.8966941833496094,0.15757575631141663,0.8409090638160706,0.8484848737716675,0.8363636136054993,0.625,0.9090909361839294,0.4545454680919647
b_m_MenoStatus_NN/version_3,0.6688033938407898,0.3871082663536072,0.607594907283783,0.6296296119689941,0.5961538553237915,0.4303797483444214,0.8888888955116272,0.19230769574642181
b_m_MenoStatus_NN/version_4,0.7059139609336853,0.31129032373428345,0.6847826242446899,0.699999988079071,0.6774193644523621,0.3586956560611725,0.8999999761581421,0.09677419066429138
b_m_MenoStatus_LogisticRegression/version_0,0.7100694179534912,0.3791666626930237,0.6190476417541504,0.625,0.6166666746139526,0.5357142686843872,0.9166666865348816,0.38333332538604736
b_m_MenoStatus_LogisticRegression/version_1,0.7218137383460999,0.3333333134651184,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3733333349227905,0.9166666865348816,0.11764705926179886
b_m_MenoStatus_LogisticRegression/version_2,0.8647383451461792,0.20606058835983276,0.7954545617103577,0.7878788113594055,0.800000011920929,0.5,0.9090909361839294,0.2545454502105713
b_m_MenoStatus_LogisticRegression/version_3,0.6730769276618958,0.3678775131702423,0.6329113841056824,0.6296296119689941,0.6346153616905212,0.4303797483444214,0.8888888955116272,0.19230769574642181
b_m_MenoStatus_LogisticRegression/version_4,0.6994622945785522,0.31182795763015747,0.695652186870575,0.6666666865348816,0.7096773982048035,0.3478260934352875,0.8999999761581421,0.08064515888690948
b_m_MenoStatus_LinearRegression/version_0,0.6809027194976807,0.3583333194255829,0.6309523582458496,0.6666666865348816,0.6166666746139526,0.4523809552192688,0.9166666865348816,0.2666666805744171
